Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,41,255.0,66.527,0.787,1.356,0.941,0.613,24.405,15.045,18.019
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,42,188.0,61.941,0.908,1.252,0.935,0.536,25.094,10.502,15.472
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,43,127.0,46.663,0.856,-1.142,0.92,0.557,18.355,9.485,12.716
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,44,54.0,29.799,0.92,0.777,0.9,0.446,13.875,5.426,8.292
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,45,28.0,21.485,0.956,1.218,0.875,0.509,11.271,3.289,5.971
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_right,void,46,48.0,33.692,0.973,1.354,0.828,0.444,17.281,4.012,7.818
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_right,part,0,38200.0,4119.247,0.14,-0.982,0.762,0.741,277.225,274.494,220.54
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_right,void,1,160.0,53.385,0.826,1.188,0.947,0.615,20.339,11.476,14.273
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_right,void,2,137.0,51.178,0.885,-1.308,0.901,0.544,20.683,9.611,13.207
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_right,void,3,379.0,91.255,0.887,-1.432,0.924,0.54,34.732,16.034,21.967
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_right,void,4,246.0,67.249,0.815,-1.482,0.932,0.591,24.943,14.44,17.698
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,bottom_right,void,5,157.0,53.698,0.892,0.866,0.963,0.516,21.919,9.912,14.139
